OrderColecta,NSiembra,Origen,Raza,Estado,Num_Colecta,Nombre_comun,Raza_Primaria,Raza_Secundaria,A̱o._de_colecta,Localidad,Municipio,Estado.1,Longitud,Latitud,Altitud,Ruizetal2008_grupo,Sanchezetal_grupo,Categ.Altitud,Rbiogeo,DivFloristic,PeralesBiog
1,108,2008-10,Dulcillo del Noroeste,Sonora,SON2007-049,Maíz Dulce,Dulcillo del Noroeste,NA,2008,Huisamopa,Sahuaripa,Sonora,-109.106,28.613,708,2A_semicalido500-870mm,Chapalote,low,Sierra Madre Occidental,Costa Pacifica,Sierras del
1,120,2007-20,Tabloncillo,Sonora,SON2007-020,Pinto Amarillo,Tabloncillo,NA,2007,La Estrella,Rosario,Sonora,-109.2448056,27.82702778,503,2C_semicalido740-855mm,Ocho Hileras,low,Sonorense,Costa Pacifica,Sierras del
2,151,Ig-2010-234,Complejo Serrano de Jalisco,Jalisco,JAL-829,CRISTALINO AMARILLO,Complejo Serrano de Jalisco,NA,NA,RANCHO EL TEPOPOTE,ATOYAC,Jalisco,-103.43833,19.92833,1920,,Sierra de Chihuahua,mid,Eje Volcanico,Serranias Meridionales,Cordillera
1,134,NL-2,Tuxpe̱o Norte̱o,Nuevo León,NL-2008-002,Blanco Alemán,Tuxpe̱o Norte̱o,NA,2008,Ejido La Petaca,Linares,Nuevo León,-99.53447222,24.85894444,334,2B_semicalido450-620mm,Dentados tropicales,low,Tamaulipeca,Planicie Costera del Noreste,Mesa del No
2,123,Nay-2010-85,Tabloncillo Perla,Nayarit,85,Tabloncillo cristalino,Tabloncillo Perla,NA,2010,"Palma Grande, Nayarit",Tuxpan,Nayarit,-105.39025,21.99097222,24,2A_semicalido500-870mm,Ocho Hileras,low,Costa del Pacifico,Costa Pacifica,Sierras del
1,153,2009-99,Cónico,Hidalgo,99,Criollo amarillo,Cónico,NA,2009,Ca̱ada de Flores,Metepec,Hidalgo,-98.405,20.28666667,2143,1B_templado>650mm,Cónico,high,Sierra Madre Oriental,Sierra Madre Oriental,Mesa Centra
1,135,2008-31,Vande̱o,Sonora,SON2007-070,Maíz Blanco,Vande̱o,NA,2008,La Estancia,Aconchi,Sonora,-110.2121667,29.79602778,610,3A_muycalido990-1360mm,Dentados tropicales,low,Sonorense,Altiplanicie,BC y Noroes
2,124,Chis-2009-175,Tehua,Chiapas,175,Quechulteco,Tehua,NA,2009,San Pablo Huacana,Ocotepec,Chiapas,-93.206,17.19680556,1545,3A_muycalido990-1360mm,Maduración tardía,mid,Los Altos de Chiapas,Costa del Golfo de Mexico,Chiapas
1,184,2009-263,Chalque̱o,Estado de M̩xico,2009-263,Criollo Grande,Chalque̱o,NA,2009,Pahuacán,Ayapango,Estado de M̩xico,-98.80388889,19.10361111,2536,,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
2,140,Ig-2010-225,Zamorano Amarillo,Jalisco,Jal-377,Criollo,Zamorano Amarillo,NA,1974,Zapotillo,Casimiro Castillo,Jalisco,-104.45,19.6,300,2A_semicalido500-870mm y 4_Jala,Ocho Hileras,low,Costa del Pacifico,Serranias Meridionales,Sierras del
2,125,Chis-2009-177,Tehua,Chiapas,177,Bacalito,Tehua,NA,2009,San Pablo Huacana,Ocotepec,Chiapas,-93.17527778,17.21630556,1525,3A_muycalido990-1360mm,Maduración tardía,mid,Los Altos de Chiapas,Serranias Transismicas,Chiapas
2,141,Ig-2010-237,Zamorano Amarillo,Michoacan,Mich-18,Criollo,Zamorano Amarillo,NA,1944,Jiquilpan,Jiquilpan,Michoacan,-102.7166667,19.96666667,1550,2A_semicalido500-870mm y 4_Jala,Ocho Hileras,mid,Eje Volcanico,Altiplanicie,Cordillera
1,131,2009-1,Tuxpe̱o,Chiapas,1,Criollo Maíz morado,Tuxpe̱o,NA,2009,Benito Juárez,La Concordia,Chiapas,-92.81925,16.04422222,575,3A_muycalido990-1360mm,Dentados tropicales,low,Costa del Pacifico,Serranias Transismicas,Chiapas
1,189,2009-82,Cónico,Hidalgo,82,Maíz amarillo,Cónico,NA,2009,Ranchería Chichicaxtle,Agua Blanca,Hidalgo,-98.37388889,20.35888889,2104,1B_templado>650mm,Cónico,high,Sierra Madre Oriental,Sierra Madre Oriental,Mesa Centra
1,57,2009-285,Elotes Cónicos,Distrito Federal,2009-13,Rojo,Elotes Cónicos,NA,2009,San Pedro Atocpan,Milpa Alta,Distrito Federal,-99.05027778,19.19166667,2530,,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,126,2009-195,Tepecintle,Chiapas,195,Criollo penul (negro),Tepecintle,NA,2009,Ejido Benito Juárez,Motozintla,Chiapas,-92.31925,15.36652778,2050,3A_muycalido990-1360mm,Dentados tropicales,high,Soconusco,Serranias Transismicas,Chiapas
1,113,NL-54,Ratón,Nuevo León,NL-2008-054,Amarillo Trem̩s,Ratón,NA,2008,Rinconada Nuevo León,Villa de García,Nuevo León,-100.7042778,25.68125,1001,2A_semicalido500-870mm,Tropicales precoces,mid,Altiplano Norte (Chihuahuense),Altiplanicie,Mesa del No
1,138,2009-14,Vande̱o,Chiapas,14,Macho (Tuxpe̱o intermedio),Vande̱o,NA,2009,Nuevo Vicente Guerrero,Villacorzo,Chiapas,-92.97783333,16.04222222,612,3A_muycalido990-1360mm,Dentados tropicales,low,Costa del Pacifico,Serranias Transismicas,Chiapas
1,63,2009-41,Cacahuacintle,Tlaxcala,41,Cacahuazintle,Cacahuacintle,NA,2008,San Pablo Zitlaltepec,Trinidad Sánchez Santos,Tlaxcala,-97.90083333,19.22194444,2554,1B_templado>650mm,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,127,2007-3,Tuxpe̱o,Sinaloa,SIN-2007-003,Maíz Rojo,Tuxpe̱o,NA,2007,Malpica,Concordia,Sinaloa,-106.1319444,23.25388889,86,3A_muycalido990-1360mm,Dentados tropicales,low,Costa del Pacifico,Planicie Costera del Noroeste,Sierras del
1,114,2007-09,Reventador,Sonora,SON2007-009,Reventador,Reventador,NA,2007,La Isleta,́lamos,Sonora,-108.9119444,26.84361111,204,2A_semicalido500-870mm,Chapalote,low,Costa del Pacifico,Costa Pacifica,Sierras del
2,139,Ig-2010-178,Zamorano Amarillo,Jalisco,Jal-445,Criollo,Zamorano Amarillo,NA,NA,Villa Purificación,Purificación,Jalisco,-104.6333333,19.71666667,450,2A_semicalido500-870mm y 4_Jala,Ocho Hileras,low,Costa del Pacifico,Costa Pacifica,Sierras del
2,99,Ig-2010-240,Nal-tel de Altura,Veracruz,VER-115,Azul,Nal-tel de Altura,NA,1952,Ixtaczoquitlan,Ixtaczoquitlan,Veracruz,-97.06666667,18.85,920,3A_muycalido990-1360mm,Dentados tropicales,low,Oaxaca,Valle de Tehuacan,Complejo de
1,129,NL-17,Tuxpe̱o,Nuevo León,NL-2008-017,Mezcla Regional,Tuxpe̱o,NA,2008,Las Crucitas,Linares,Nuevo León,-99.72272222,24.75586111,557,3A_muycalido990-1360mm,Dentados tropicales,low,Tamaulipeca,Planicie Costera del Noreste,Mesa del No
2,116,INIFAP-2009-131,Tablilla de Ocho,Chihuahua,131,Ocho carreras,Tablilla de Ocho,NA,2009,La Concepción,Gran Morelos,Chihuahua,-106.6324722,28.32019444,1791,2B_semicalido450-620mm,Ocho Hileras,mid,Altiplano Norte (Chihuahuense),Sierra Madre Occidental,Mesa del No
2,142,Chis-2009-35,Zapalote Chico,Chiapas,35,Maíz conejito,Zapalote Chico,NA,2009,Ejido El Parral,Villacorzo,Chiapas,-93.00194444,16.36402778,654,3A_muycalido990-1360mm,Tropicales precoces,low,Costa del Pacifico,Costa Pacifica,Chiapas
1,110,2008-19,Onave̱o,Sonora,SON2007-058,Maíz Blanco,Onave̱o,NA,2008,Moctezuma,Moctezuma,Sonora,-109.68,29.80894444,626,2A_semicalido500-870mm,Ocho Hileras,low,Sonorense,Altiplanicie,Sierras del
1,132,2009-2,Tuxpe̱o,Chiapas,2,Criollo amarillo,Tuxpe̱o,NA,2009,Ejido La Concordia,La Concordia,Chiapas,-92.68894972,16.1194325,552,3A_muycalido990-1360mm,Dentados tropicales,low,Costa del Pacifico,Serranias Transismicas,Chiapas
1,118,2006-10,Tabloncillo,Sinaloa,SIN-2006-010,Blanco Bola,Tabloncillo,NA,2006,Boca de Arroyo,Badiraguato,Sinaloa,-107.5618889,25.40125,226,2C_semicalido740-855mm,Ocho Hileras,low,Costa del Pacifico,Costa Pacifica,Sierras del
1,144,2009-35,Zapalote Grande,Chiapas,35,Maíz conejito,Zapalote Grande,NA,2009,Ejido El Parral,Villacorzo,Chiapas,-93.00194444,16.36402778,654,3A_muycalido990-1360mm,Dentados tropicales,low,Costa del Pacifico,Costa Pacifica,Chiapas
1,133,2009-6,Tuxpe̱o Norte̱o,Estado de M̩xico,2009-006,Criollo de la Región,Tuxpe̱o Norte̱o,NA,2009,La Cofradía,Amatepec,Estado de M̩xico,-100.2275,18.66027778,1390,2B_semicalido450-620mm,Dentados tropicales,mid,Depresion del Balsas,Depresion del Balsas,Cordillera
1,121,2007-22,Tabloncillo,Sonora,SON2007-022,Pinto Amarillo,Tabloncillo,NA,2007,Los Vallecitos,Y̩cora,Sonora,-108.9255278,28.41063889,1570,2C_semicalido740-855mm,Ocho Hileras,mid,Sierra Madre Occidental,Sierra Madre Occidental,Sierras del
1,111,TMS-35,Ratón,Tamaulipas,TMS-35,Olote delgadito,Ratón,NA,2007,Oyama,Hidalgo,Tamaulipas,-99.25505556,24.12780556,231,2A_semicalido500-870mm,Tropicales precoces,low,Golfo de Mexico,Planicie Costera del Noreste,Mesa del No
1,137,2009-5,Vande̱o,Chiapas,5,Amarillo chimbo,Vande̱o,NA,2009,Ejido La Concordia,La Concordia,Chiapas,-92.69643389,16.12061694,551,3A_muycalido990-1360mm,Dentados tropicales,low,Costa del Pacifico,Serranias Transismicas,Chiapas
1,109,2007-3,Onave̱o,Sonora,SON2007-003,Pirineo,Onave̱o,NA,2007,Cochibampo,́lamos,Sonora,-108.8240833,27.17294444,461,2A_semicalido500-870mm,Ocho Hileras,low,Costa del Pacifico,Costa Pacifica,Sierras del
2,146,Pue-2009-734,Arrocillo,Puebla,734,Maíz blanco,Arrocillo,NA,2010,Eloxochitlan,Zacatlán,Puebla,-97.98033333,19.94305556,2131,1C_templado>1000mm,Cónico,high,Sierra Madre Oriental,Sierra Madre Oriental,Mesa Centra
2,164,Ig-2010-298,Jala,Nayarit,2003-6,Criollo,Jala,NA,2003,Jomulco,Jala,Nayarit,-104.4286944,21.10166667,1153,2A_semicalido500-870mm y 4_Jala,Ocho Hileras,mid,Costa del Pacifico,Serranias Meridionales,Sierras del
2,157,Pue-2010-291,Coscomatepec,Puebla,291,Criollo blanco,Coscomatepec,NA,2010,Buena Vista,Ayotoxco de Guerrero,Puebla,-97.45566667,20.12658333,126,,Maduración tardóa,low,Golfo de Mexico,Costa del Golfo de Mexico,Planicies d
1,171,2009-183,Elotes Cónicos,Tlaxcala,183,Rojo Xocoyule,Elotes Cónicos,NA,2009,Santiago Tlalpan,Hueyotlipan,Tlaxcala,-98.31555556,19.4875,2584,,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,149,2008-28,Chapalote,Sonora,SON2007-067,Reventador oscuro,Chapalote,NA,2008,Moctezuma,Moctezuma,Sonora,-109.6742778,29.80538889,596,2A_semicalido500-870mm y 1B_templado>650mm,Chapalote,low,Sonorense,Altiplanicie,Sierras del
1,165,2009-260,Olotillo,Chiapas,260,Chimbo,Olotillo,NA,2009,Primera Sección Medio Monte,Tuxtla Chico,Chiapas,-92.216925,14.90176111,191,3A_muycalido990-1360mm,Maduración tardía,low,Costa del Pacifico,Soconusco,Chiapas
2,159,Chis-2009-67,Dzit-Bacal,Chiapas,67,"Olotillo blanco \ocho filas\""""",Dzit-Bacal,NA,2009,Rivera El Gavilán,Ocozocoautla de Espinosa,Chiapas,-93.45688889,16.75177778,779,3A_muycalido990-1360mm,Maduración tardía,low,Costa del Pacifico,Serranias Transismicas,Chiapas
1,172,2009-86,Elotes Cónicos,Hidalgo,86,Xocoyul,Elotes Cónicos,NA,2009,"Calabazas, Prinera Sección",Agua Blanca,Hidalgo,-98.37555556,20.35472222,2081,,Cónico,high,Sierra Madre Oriental,Sierra Madre Oriental,Mesa Centra
1,150,2009-122,Comiteco,Chiapas,122,Amarillo,Comiteco,NA,2009,La Libertad,Independencia,Chiapas,-92.02008333,16.24877778,1550,1C_templado>1000mm,Maduración tardía,mid,Los Altos de Chiapas,Serranias Transismicas,Chiapas
1,166,2009-228,Olotón,Chiapas,228,Criollo amarillo,Olotón,NA,2009,Mitziton,San Cristóbal de las Casas,Chiapas,-92.54222222,16.63975,2299,1C_templado>1000mm,Maduración tardía,high,Los Altos de Chiapas,Serranias Transismicas,Chiapas
1,160,2009-240,Elotes Cónicos,Estado de M̩xico,2009-240,Negro Bola,Elotes Cónicos,NA,2009,San Juan Tehuixtitlán,Atlautla,Estado de M̩xico,-98.77233333,19.05555556,2600,,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,173,2007-083,Elotero de Sinaloa,Sinaloa,SIN-2007-083,Negro,Elotero de Sinaloa,NA,2007,La Labor,San Ignacio,Sinaloa,-106.4261111,23.84611111,258,,Chapalote,low,Costa del Pacifico,Costa Pacifica,Sierras del
2,152,Guerrero-2008-30,Conejo,Guerrero,30,Blanco,Conejo,NA,2008,Tamalakatzingo,Olinalá,Guerrero,-98.68102778,17.88563889,1493,,Tropicales precoces,mid,Sierra Madre del Sur,Depresion del Balsas,Cordillera
1,167,2009-269,Olotón,Chiapas,269,Maiz de a̱o (trapichio),Olotón,NA,2009,Puente Maravillas,Motozintla,Chiapas,-92.18767778,15.29614444,1220,1C_templado>1000mm,Maduración tardía,mid,Soconusco,Serranias Transismicas,NA
1,161,2009-128,Elotes Cónicos,Tlaxcala,128,Xocoyule,Elotes Cónicos,NA,2009,Quinta Sección San Jos̩ Teacalco,San Jos̩ Teacalco,Tlaxcala,-98.04722222,19.33861111,2620,,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,174,2007-38,Elotero de Sinaloa,Sinaloa,SIN-2007-038,Maíz Negro ,Elotero de Sinaloa,NA,2007,Potrerillo,Concordia,Sinaloa,-105.8308333,23.4575,1526,,Chapalote,mid,Costa del Pacifico,Costa Pacifica,Sierras del
1,154,2009-244,Cónico,Estado de M̩xico,2009-244,Azul,Cónico,NA,2009,San Antonio Soyatzingo,Amecameca,Estado de M̩xico,-98.78166667,19.09055556,2400,1B_templado>650mm,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
2,169,Ig-2010-328,Jala,Nayarit,2004-17,Criollo,Jala,NA,2004,Jomulco,Jala,Nayarit,-104.4399794,21.07805,1057,2A_semicalido500-870mm y 4_Jala,Ocho Hileras,mid,Costa del Pacifico,Serranias Meridionales,Sierras del
2,162,Celaya-2009-15,Elotes Occidentales,Guanajuato,2009-REPO-015,Maíz Criollo,Elotes Occidentales,NA,2009,Miraflores,Comonfort,Guanajuato,-100.9355556,20.78722222,2071,2C_semicalido740-855mm y 1B_templado>650mm,Ocho Hileras,high,Altiplano Sur (Zacatecano-Potosino),Altiplanicie,Mesa del No
1,176,2009-66,Pepitilla,Estado de M̩xico,2009-066,Ancho Blanco-Rojo,Pepitilla,NA,2009,El Pe̱ón,Temascaltepec,Estado de M̩xico,-100.1083333,19.04388889,1779,2C_semicalido740-855mm,Dentados tropicales,mid,Eje Volcanico,Depresion del Balsas,Cordillera
2,156,INIFAP-2009-5,Cónico Norte̱o,Chihuahua,5,Blanco mezclado,Cónico Norte̱o,NA,2009,Zamaloapan,Cuauhtemoc,Chihuahua,-106.6555,28.51872222,2019,1B_templado>650mm,Cónico,high,Sierra Madre Occidental,Sierra Madre Occidental,Cañones Chi
1,170,2009-98,Elotes Cónicos,Estado de M̩xico,2009-098,Rosado,Elotes Cónicos,NA,2009,San Juan Jalpa,San Felipe del Progreso,Estado de M̩xico,-99.92944444,19.70611111,2535,,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,163,2008-46,Gordo,Sonora,SON2007-085,Maíz Blando,Gordo,NA,2008,Mesa de Tres Ríos,Nácori Chico,Sonora,-108.7097222,29.84027778,1880,1A_templado540-640mm,Sierra de Chihuahua,mid,Sierra Madre Occidental,Sierra Madre Occidental,BC y Noroes
1,177,2009-266,Tepecintle,Chiapas,266,Criollo amarillo,Tepecintle,NA,2009,Cacaoatales,Metapa de Oguez,Chiapas,-92.19657222,14.82029722,100,3A_muycalido990-1360mm,Dentados tropicales,low,Costa del Pacifico,Soconusco,Chiapas
1,178,2009-275,Tepecintle,Chiapas,275,Maiz negro,Tepecintle,NA,2009,Monterrey Segunda,Tila,Chiapas,-92.46687222,17.25071111,899,3A_muycalido990-1360mm,Dentados tropicales,low,Los Altos de Chiapas,Serranias Transismicas,Chiapas
1,192,2008-182,Cónico,Estado de M̩xico,2009-182,Blanco Criollo,Cónico,NA,2009,Xala,Axapusco,Estado de M̩xico,-98.64722222,19.75944444,2479,1B_templado>650mm,Cónico,high,Altiplano Sur (Zacatecano-Potosino),Altiplanicie,Mesa Centra
2,185,Pue-2009-732,Arrocillo,Puebla,732,Maíz blanco,Arrocillo,NA,2010,Foxcoatzingo,Zacatlán,Puebla,-97.97941667,19.95577778,2104,1C_templado>1000mm,Cónico,high,Sierra Madre Oriental,Sierra Madre Oriental,Mesa Centra
2,201,INIFAP-2009-323,Tablilla de Ocho,Chihuahua,323,Ocho carreras amarillo y blanco,Tablilla de Ocho,NA,2009,La Noria y Anexos,Huejotitan,Chihuahua,-106.0163611,26.94213889,1775,2B_semicalido450-620mm,Ocho Hileras,mid,Sierra Madre Occidental,Sierra Madre Occidental,Mesa del No
1,179,2009-97,Cónico,Estado de M̩xico,2009-097,Amarillo,Cónico,NA,2009,San Antonio Mextepec,San Felipe del Progreso,Estado de M̩xico,-99.95611111,19.65111111,2663,1B_templado>650mm,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,193,2009-277,Vande̱o,Chiapas,277,Maiz negro (morado) yaxum,Vande̱o,NA,2009,Monterrey Segunda,Tila,Chiapas,-92.46687222,17.25071111,899,3A_muycalido990-1360mm,Dentados tropicales,low,Los Altos de Chiapas,Serranias Transismicas,Chiapas
1,186,2009-133,Comiteco,Chiapas,133,Amarillo,Comiteco,NA,2009,Guayamuses,Independencia,Chiapas,-91.97488889,16.23313889,1550,1C_templado>1000mm,Maduración tardía,mid,Los Altos de Chiapas,Serranias Transismicas,Chiapas
2,202,Nay-2010-80,Tabloncillo Perla,Nayarit,80,Tabloncillo perla,Tabloncillo Perla,NA,2010,"Pe̱as, Nayarit",Del Nayar,Nayarit,-105.2216111,21.94602778,20,2A_semicalido500-870mm,Ocho Hileras,low,Costa del Pacifico,Costa Pacifica,Sierras del
1,180,2009-116,Cónico,Hidalgo,116,Maíz rojo o xucuyul,Cónico,NA,2009,El Capulín,Cuautepec de Hinojosa,Hidalgo,-98.27472222,19.99861111,2297,1B_templado>650mm,Cónico,high,Sierra Madre Oriental,Sierra Madre Oriental,Mesa Centra
2,195,Nay-2010-51,Tabloncillo Perla,Nayarit,51,Tabloncillo cristalino,Tabloncillo Perla,NA,2010,"El Colomo, Nayarit",Bahia de banderas,Nayarit,-105.1493611,20.87416667,54,2A_semicalido500-870mm,Ocho Hileras,low,Costa del Pacifico,Serranias Meridionales,Sierras del
1,187,2009-84,Cónico,Estado de M̩xico,2009-084,Amarillo,Cónico,NA,2009,Emiliano Zapata,Ixtlahuaca,Estado de M̩xico,-99.79111111,19.56944444,2538,1B_templado>650mm,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,181,2009-139,Cónico,Tlaxcala,139,Blanco,Cónico,NA,2009,Cerca de Xalostoc,Xalostoc,Tlaxcala,-98.06944444,19.39388889,2469,1B_templado>650mm,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,197,2008-33,Reventador,Sonora,SON2007-072,Reventador,Reventador,NA,2008,La Estancia,Aconchi,Sonora,-110.2101111,29.79355556,598,2A_semicalido500-870mm,Chapalote,low,Sonorense,Altiplanicie,BC y Noroes
1,188,2009-133,Cónico,Estado de M̩xico,2009-133,Criollo Ahumado,Cónico,NA,2009,San Pablo Malacatepec,Villa de Allende,Estado de M̩xico,-100.1675028,19.35202222,2452,1B_templado>650mm,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
2,182,Guerrero-2008-45,Conejo,Guerrero,45,Blanco,Conejo,NA,2008,Cualác,Cualác,Guerrero,-98.65641667,17.74525,1402,,Tropicales precoces,mid,Sierra Madre del Sur,Depresion del Balsas,Cordillera
1,198,TAMS-63,Ratón,Tamaulipas,63,Olote delgadito,Ratón,NA,2007,Ejido Nuevo San Antonio,San Carlos,Tamaulipas,-99.02108333,24.29011111,199,2A_semicalido500-870mm,Tropicales precoces,low,Golfo de Mexico,Planicie Costera del Noreste,Mesa del No
1,190,2009-80,Cónico,Estado de M̩xico,2009-080,Rosado,Cónico,NA,2009,San Diego Suchitepec,Villa  Victoria,Estado de M̩xico,-100.0255556,19.49083333,2576,1B_templado>650mm,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
1,200,2009-264,Olotillo,Chiapas,264,Olotillo,Olotillo,NA,2009,Medio Monte,Tuxtla Chico,Chiapas,-92.2045,14.87376389,159,3A_muycalido990-1360mm,Maduración tardía,low,Costa del Pacifico,Soconusco,Chiapas
1,183,2009-127,Comiteco,Chiapas,127,Amarillo,Comiteco,NA,2009,Carranza,Independencia,Chiapas,-91.93747222,16.19525,1550,1C_templado>1000mm,Maduración tardía,mid,Los Altos de Chiapas,Serranias Transismicas,Chiapas
1,191,2009-266,Elotes Cónicos,Estado de M̩xico,2009-266,Chitocle (Rosado),Elotes Cónicos,NA,2009,Pahuacán,Ayapango,Estado de M̩xico,-98.80666667,19.10861111,2560,,Cónico,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
NA,96,Jardin Etnobotanico Oaxaca,Zea m. parviglumis,Oaxaca,M. Winter S/N,teocintle,parviglumis,NA,1999,Camino a Juchatengo,San Jerónimo Coatlán,Oaxaca,-97.04883,16.32283,1135,teocintle,Zea m. parviglumis,mid,Costa del Pacifico,Costa Pacifica,Complejo de
NA,203,Luis Eguiarte,Zea m. mexicana,Estado de M̩xico,,teocintle,mexicana,NA,NA,villa seca,Toluca,Estado de M̩xico,-99.62705556,19.40747222,2581,teocintle,Zea m. mexicana,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
NA,911,Luis Eguiarte 1_1,Zea m. parviglumis,Guerrero,NA,teocintle,parviglumis,NA,NA,Teloloapan,Teloloapan,Guerrero,-99.84108,18.34983,1649,teocintle,Zea m. parviglumis,mid,Depresion del Balsas,Depresion del Balsas,Cordillera
NA,9107,Luis Eguarte 10_7,Zea m. mexicana,Estado de M̩xico,NA,teocintle,mexicana,NA,NA,Villa Seca,Otzolotepec,Estado de M̩xico,-99.62705556,19.40747222,2581,teocintle,Zea m. mexicana,high,Eje Volcanico,Serranias Meridionales,Mesa Centra
